15419;[JUKUMARI] Reunion general Jukumari Team;Reunion de revision de avisos, noticias de proyectos, revision de mejoras y correcciones en general para todos los proyectos;5c79907a77edd55f716a94fc;3h;;
15201;[SONY] Reunion semanal con el cliente;Reunion semanal con el cliente;5c79907a77edd55f716a94fc;1h;;
15201;[SONY] Reuniones de revision de observaciones y cambios;Reuniones de revision de observaciones y cambios;5c79907a77edd55f716a94fc;2h;;
15201;[SONY] Reuniones de QA/Test de cambios realizados ;Reuniones de QA/Test de cambios realizados ;5c79907a77edd55f716a94fc;2h;;
15734;[MADISON] Reunion semanal con el cliente;Reunion semanal con el cliente;5c79907a77edd55f716a94fc;1h;;
15734;[MADISON] Reuniones de revision de observaciones y cambios;Reuniones de revision de observaciones y cambios;5c79907a77edd55f716a94fc;2h;;
15734;[MADISON] Reuniones de QA/Test de cambios realizados ;Reuniones de QA/Test de cambios realizados ;5c79907a77edd55f716a94fc;2h;;
15419;[JUKUMARI] Reunion general Jukumari Team;Reunion de revision de avisos, noticias de proyectos, revision de mejoras y correcciones en general para todos los proyectos;5d35deb94fa5500c42b699ff;3h;;
15201;[SONY] Reunion semanal con el cliente;Reunion semanal con el cliente;5d35deb94fa5500c42b699ff;1h;;
15201;[SONY] Reuniones de revision de observaciones y cambios;Reuniones de revision de observaciones y cambios;5d35deb94fa5500c42b699ff;2h;;
15201;[SONY] Reuniones de QA/Test de cambios realizados ;Reuniones de QA/Test de cambios realizados ;5d35deb94fa5500c42b699ff;2h;;
15733;[GEORGE BROW] Reunion semanal con el cliente;Reunion semanal con el cliente;5d35deb94fa5500c42b699ff;1h;;
15733;[GEORGE BROW] Reuniones de revision de observaciones y cambios;Reuniones de revision de observaciones y cambios;5d35deb94fa5500c42b699ff;2h;;
15733;[GEORGE BROW] Reuniones de QA/Test de cambios realizados ;Reuniones de QA/Test de cambios realizados ;5d35deb94fa5500c42b699ff;2h;;
15773;[DSIERRA] Reunion semanal con el cliente;Reunion semanal con el cliente;5d35deb94fa5500c42b699ff;1h;;
15773;[DSIERRA] Reuniones de QA/Test de cambios realizados ;Reuniones de QA/Test de cambios realizados ;5d35deb94fa5500c42b699ff;1h;;
15419;[JUKUMARI] Reunion general Jukumari Team;Reunion de revision de avisos, noticias de proyectos, revision de mejoras y correcciones en general para todos los proyectos;60e84a2e4134aa00695b9e9c;3h;;
